"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
housing_ref_2cr_w4,followup_4_weeks,,checkbox,[housing_ref_2],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[housing_ref_2] != """"",,,,call_result_w4,,
housing_ref_3cr_w4,followup_4_weeks,,checkbox,[housing_ref_3],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[housing_ref_3] != """"",,,,call_result_w4,,
edu_ref_cr_w4,followup_4_weeks,,checkbox,[edu_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[edu_ref] != """"",,,,call_result_w4,,
youth_ref_cr_w4,followup_4_weeks,,checkbox,[youth_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[youth_ref] != """"",,,,call_result_w4,,
fin_ref_cr_w4,followup_4_weeks,,checkbox,[fin_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[fin_ref] != """"",,,,call_result_w4,,
fin_ref_2cr_w4,followup_4_weeks,,checkbox,[fin_ref_2],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[fin_ref_2] != """"",,,,call_result_w4,,
medical_ref_cr_w4,followup_4_weeks,,checkbox,[medical_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[medical_ref] != """"",,,,call_result_w4,,
medical_ref_2cr_w4,followup_4_weeks,,checkbox,[medical_ref_2],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[medical_ref_2] != """"",,,,call_result_w4,,
medical_ref_3cr_w4,followup_4_weeks,,checkbox,[medical_ref_3],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[medical_ref_3] != """"",,,,call_result_w4,,
social_ref_cr_w4,followup_4_weeks,,checkbox,[social_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[social_ref] != """"",,,,call_result_w4,,
criminal_ref_cr_w4,followup_4_weeks,,checkbox,[criminal_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[criminal_ref] != """"",,,,call_result_w4,,
violence_ref_cr_w4,followup_4_weeks,,checkbox,[violence_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[violence_ref] != """"",,,,call_result_w4,,
utilities_cr_w4,followup_4_weeks,,checkbox,[utilities],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[utilities] != """"",,,,call_result_w4,,
utilities_2cr_w4,followup_4_weeks,,checkbox,[utilities_2],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[utilities_2] != """"",,,,call_result_w4,,
other_ref1cr_w4,followup_4_weeks,,checkbox,[other_ref1],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[other_ref1] != """"",,,,call_result_w4,,
other_ref2cr_w4,followup_4_weeks,,checkbox,[other_ref2],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[other_ref2] != """"",,,,call_result_w4,,
other_ref3cr_w4,followup_4_weeks,,checkbox,[other_ref3],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[other_ref3] != """"",,,,call_result_w4,,
food_ref_notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [food_ref]",,,,,,,"[food_ref_e_w4] != """" or [food_ref_u_w4] != """"",,,,,,
food_ref_2notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [food_ref_2]",,,,,,,"[food_ref_2e_w4] != """" or [food_ref_2u_w4] != """"",,,,,,
food_ref_3notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [food_ref_3]",,,,,,,"[food_ref_3e_w4] != """" or [food_ref_3u_w4] != """"",,,,,,
clothing_ref_notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [clothing_ref]",,,,,,,"[clothing_ref_e_w4] != """" or [clothing_ref_u_w4] != """"",,,,,,
clothing_ref_2notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [clothing_ref_2]",,,,,,,"[clothing_ref_2e_w4] != """" or [clothing_ref_2u_w4] != """"",,,,,,
transport_ref_notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [transport_ref]",,,,,,,"[transport_ref_e_w4] != """" or [transport_ref_u_w4] != """"",,,,,,
transport_ref_2notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [transport_ref_2]",,,,,,,"[transport_ref_2e_w4] != """" or [transport_ref_2u_w4] != """"",,,,,,
housing_ref_notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [housing_ref]",,,,,,,"[housing_ref_e_w4] != """" or [housing_ref_u_w4] != """"",,,,,,
housing_ref_2notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [housing_ref_2]",,,,,,,"[housing_ref_2e_w4] != """" or [housing_ref_2u_w4] != """"",,,,,,
housing_ref_3notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [housing_ref_3]",,,,,,,"[housing_ref_3e_w4] != """" or [housing_ref_3u_w4] != """"",,,,,,
edu_ref_notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [edu_ref]",,,,,,,"[edu_ref_e_w4] != """" or [edu_ref_u_w4] != """"",,,,,,
youth_ref_notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [youth_ref]",,,,,,,"[youth_ref_e_w4] != """" or [youth_ref_u_w4] != """"",,,,,,
fin_ref_notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [fin_ref]",,,,,,,"[fin_ref_e_w4] != """" or [fin_ref_u_w4] != """"",,,,,,
fin_ref_2notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [fin_ref_2]",,,,,,,"[fin_ref_2e_w4] != """" or [fin_ref_2u_w4] != """"",,,,,,
medical_ref_notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [medical_ref]",,,,,,,"[medical_ref_e_w4] != """" or [medical_ref_u_w4] != """"",,,,,,
medical_ref_2notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [medical_ref_2]",,,,,,,"[medical_ref_2e_w4] != """" or [medical_ref_2u_w4] != """"",,,,,,
medical_ref_3notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [medical_ref_3]",,,,,,,"[medical_ref_3e_w4] != """" or [medical_ref_3u_w4] != """"",,,,,,
social_ref_notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [social_ref]",,,,,,,"[social_ref_e_w4] != """" or [social_ref_u_w4] != """"",,,,,,
criminal_ref_notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [criminal_ref]",,,,,,,"[criminal_ref_e_w4] != """" or [criminal_ref_u_w4] != """"",,,,,,
violence_ref_notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [violence_ref]",,,,,,,"[violence_ref_e_w4] != """" or [violence_ref_u_w4] != """"",,,,,,
utilities_notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [utilities]",,,,,,,"[utilities_e_w4] != """" or [utilities_u_w4] != """"",,,,,,
utilities_2notes_w4,followup_4_weeks,,notes,"Notes about Ease-of-Use/Utility: [utilities_2]",,,,,,,"[utilities_2e_w4] !=  """" or [utilities_2u_w4] != """"",,,,,,
other_ref1notes_w4,followup_4_weeks,,notes,"Notes about Ease of Use/Utility: [other_ref1]",,,,,,,"[other_ref1_e_w4] != """" or [other_ref1_u_w4] != """"",,,,,,
other_ref2notes_w4,followup_4_weeks,,notes,"Notes about Ease of Use/Utility: [other_ref2]",,,,,,,"[other_ref2_e_w4] != """" or [other_ref2_u_w4] != """"",,,,,,
other_ref3notes_w4,followup_4_weeks,,notes,"Notes about Ease of Use/Utility: [other_ref3]",,,,,,,"[other_ref3_e_w4] != """" or [other_ref3_u_w4] != """"",,,,,,
lastfollowup_w4,followup_4_weeks,,yesno,"Is this the last followup with the patient?",,,,,,,,,,,,,
helpful_w4,followup_4_weeks,,yesno,"Was Help Desk helpful in addressing the patient's needs?",,,,,,,"[lastfollowup_w4] = '1'",,,,,,
overallhealth_w4,followup_4_weeks,,yesno,"Does the patient think assistance from Help Desk will help with their overall health?",,,,,,,"[lastfollowup_w4] = '1'",,,,,,
successfulsheet_w4,followup_4_weeks,,yesno,"Did you fill out the successful referrals cheat sheet?",,,,,,,,,,,,,
closing_notes_w4,followup_4_weeks,,notes,"Closing notes ",,,,,,,,,,,,,
student1_ext1,extended_followup_1,,dropdown,"Name of Student 1 Calling","1, Gene M | 2, Ethan B | 3, Matthew Y | 4, Natalie G | 5, Brianna C | 6, Advika K | 7, Mohanapriya C | 8, Bailey G | 9, Dongwon L | 10, Ayra C | 11, Haripriya D | 12, Gloria K | 13, Morgan B | 14, Leslie L P | 15, Nidhi D | 16, James Z | 17, Natalie R | 18, Grace L | 19, Meredith H | 20, Adrian C | 21, Caroline H | 22, Sriya D | 23, Emily R | 24, Aneri T | 25, Rose N | 26, Esther Z | 27, Amber B | 28, Katherine W | 29, Margo B | 30, NiQuava P | 31, Scott M | 32, Pratamesh R | 33, Rebecca L | 34, Sue Z | 35, Wayne W | 36, Amitesh V | 37, McKenna P | 38, Esha P | 39, Rhea N | 40, Shibani M | 41, Yaneli G H | 42, Devan D | 43, Amy C | 44, Julia C | 45, Yasmin A | 46, Maria B | 47, Ishaan B | 48, Austin B | 49, Eugene C | 50, Emily D C | 51, Saisha D | 52, Spandan G | 53, Amy G | 54, Achintya I | 55, Elena K | 56, Cristal O | 57, Taylor P | 58, Catherine P | 59, Ashna S | 60, Rachel S | 61, Ashish S | 62, Ariana V | 63, Brooke W | 64, Dev S | 65, Elias L",,autocomplete,,,y,,,,,,,
attempt1_ext1,extended_followup_1,,text,"Attempt 1",,,datetime_mdy,,,y,,,,,,,
contacttype1_ext1,extended_followup_1,,radio,"Method of Contact 1","1, Call | 2, Text | 3, Email",,,,,,,,,,,,
calloutcome1_ext1,extended_followup_1,,dropdown,"Call Outcome 1","1, Disconnected phone line  | 2, Wrong number  | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 8, Someone hung up on you | 9, Finished script with patient or proxy | 10,   | 11,    | 12",,autocomplete,,,,"[contacttype1_ext1] = '1'",,,,,,
textoutcome1_ext1,extended_followup_1,,dropdown,"Text Outcome 1","1, Responded | 2, Did not respond",,,,,,"[contacttype1_ext1] = '2'",,,,,,
emailoutcome1_ext1,extended_followup_1,,dropdown,"Email Outcome 1","1, Responded | 2, Did not respond",,,,,,"[contacttype1_ext1] = '3'",,,,,,
attempt2_ext1,extended_followup_1,,text,"Attempt 2",,,datetime_mdy,,,y,"[calloutcome1_ext1] != '9' and [calloutcome1_ext1] != '' or [textoutcome1_ext1] = '2' or [emailoutcome1_ext1] = '2'",,,,,,
contacttype2_ext1,extended_followup_1,,radio,"Method of Contact 2","1, Call | 2, Text | 3, Email",,,,,,"[calloutcome1_ext1] != '9' and [calloutcome1_ext1] != '' or [textoutcome1_ext1] = '2' or [emailoutcome1_ext1] = '2'",,,,,,
calloutcome2_ext1,extended_followup_1,,dropdown,"Call Outcome 2","1, Disconnected phone line  | 2, Wrong number  | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 8, Someone hung up on you | 9, Finished script with patient or proxy | 10,   | 11,    | 12",,autocomplete,,,,"([calloutcome1_ext1] != '9' and [calloutcome1_ext1] != '' or [textoutcome1_ext1] = '2' or [emailoutcome1_ext1] = '2') and [contacttype2_ext1] = '1'",,,,,,
textoutcome2_ext1,extended_followup_1,,dropdown,"Text Outcome 2","1, Responded | 2, Did not respond",,,,,,"([calloutcome1_ext1] != '9' and [calloutcome1_ext1] != '' or [textoutcome1_ext1] = '2' or [emailoutcome1_ext1] = '2') and [contacttype2_ext1] = '2'",,,,,,
emailoutcome2_ext1,extended_followup_1,,dropdown,"Email Outcome 2","1, Responded | 2, Did not respond",,,,,,"([calloutcome1_ext1] != '9' and [calloutcome1_ext1] != '' or [textoutcome1_ext1] = '2' or [emailoutcome1_ext1] = '2') and [contacttype2_ext1] = '3'",,,,,,
attempt3_ext1,extended_followup_1,,text,"Attempt 3",,,datetime_mdy,,,y,"[calloutcome2_ext1] != '9' and [calloutcome2_ext1] != '' or [textoutcome2_ext1] = '2' or [emailoutcome2_ext1] = '2'",,,,,,
contacttype3_ext1,extended_followup_1,,radio,"Method of Contact 3","1, Call | 2, Text | 3, Email",,,,,,"[calloutcome2_ext1] != '9' and [calloutcome2_ext1] != '' or [textoutcome2_ext1] = '2' or [emailoutcome2_ext1] = '2'",,,,,,
calloutcome3_ex1,extended_followup_1,,dropdown,"Call Outcome 3","1, Disconnected phone line  | 2, Wrong number  | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 8, Someone hung up on you | 9, Finished script with patient or proxy | 10,   | 11,    | 12",,autocomplete,,,,"([calloutcome2_ext1] != '9' and [calloutcome2_ext1] != '' or [textoutcome2_ext1] = '2' or [emailoutcome2_ext1] = '2') and [contacttype3_ext1] = '1'",,,,,,
textoutcome3_ext1,extended_followup_1,,dropdown,"Text Outcome 3","1, Responded | 2, Did not respond",,,,,,"([calloutcome2_ext1] != '9' and [calloutcome2_ext1] != '' or [textoutcome2_ext1] = '2' or [emailoutcome2_ext1] = '2') and [contacttype3_ext1] = '2'",,,,,,
emailoutcome3_ext1,extended_followup_1,,dropdown,"Email Outcome 3","1, Responded | 2, Did not respond",,,,,,"([calloutcome2_ext1] != '9' and [calloutcome2_ext1] != ''  or [textoutcome2_ext1] = '2' or [emailoutcome2_ext1] = '2') and [contacttype3_ext1] = '3'",,,,,,
length_ext1,extended_followup_1,,text,"Length of Call (minutes)",,,integer,0,60,,"[contacttype1_ext1] = '1' or [contacttype2_ext1] = '1' or [contacttype3_ext1] = '1'",y,,,,,
lengthresponse_ext1,extended_followup_1,,dropdown,"How long did it take the patient to respond after volunteer sent text/email?","1, within 1 day  | 2, within 1 week  | 3, within 2 weeks | 4, within 1 month  | 5, more than 1 month",,,,,,"[contacttype1_ext1] = '2' or [contacttype2_ext1] = '2' or [contacttype3_ext1] = '2' or [contacttype1_ext1] = '3' or [contacttype2_ext1] = '3' or [contacttype3_ext1] = '3'",,,,,,
patientresponse_ext1,extended_followup_1,,checkbox,"Which method of communication did the patient respond to?","1, Call  | 2, Text  | 3, Email",,,,,,,,,,,,
food_ref_c_ext1,extended_followup_1,"Connection Status",radio,[food_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[food_ref] != """"",,,,connection_status_ext1,,
food_ref_2c_ext1,extended_followup_1,,radio,[food_ref_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[food_ref_2] != """"",,,,connection_status_ext1,,
food_ref_3c_ext1,extended_followup_1,,radio,[food_ref_3],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[food_ref_3] != """"",,,,connection_status_ext1,,
clothing_ref_c_ext1,extended_followup_1,,radio,[clothing_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[clothing_ref] != """"",,,,connection_status_ext1,,
clothing_ref_2c_ext1,extended_followup_1,,radio,[clothing_ref_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[clothing_ref_2] != """"",,,,connection_status_ext1,,
transport_ref_c_ext1,extended_followup_1,,radio,[transport_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[transport_ref] != """"",,,,connection_status_ext1,,
transport_ref_2c_ext1,extended_followup_1,,radio,[transport_ref_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[transport_ref_2] != """"",,,,connection_status_ext1,,
housing_ref_c_ext1,extended_followup_1,,radio,[housing_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[housing_ref] != """"",,,,connection_status_ext1,,
housing_ref_2c_ext1,extended_followup_1,,radio,[housing_ref_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[housing_ref_2] != """"",,,,connection_status_ext1,,
housing_ref_3c_ext1,extended_followup_1,,radio,[housing_ref_3],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[housing_ref_3] != """"",,,,connection_status_ext1,,
edu_ref_c_ext1,extended_followup_1,,radio,[edu_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[edu_ref] != """"",,,,connection_status_ext1,,
youth_ref_c_ext1,extended_followup_1,,radio,[youth_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[youth_ref] != """"",,,,connection_status_ext1,,
fin_ref_c_ext1,extended_followup_1,,radio,[fin_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[fin_ref] != """"",,,,connection_status_ext1,,
fin_ref_2c_ext1,extended_followup_1,,radio,[fin_ref_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[fin_ref_2] != """"",,,,connection_status_ext1,,
medical_ref_c_ext1,extended_followup_1,,radio,[medical_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[medical_ref] != """"",,,,connection_status_ext1,,
medical_ref_2c_ext1,extended_followup_1,,radio,[medical_ref_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[medical_ref_2] != """"",,,,connection_status_ext1,,
medical_ref_3c_ext1,extended_followup_1,,radio,[medical_ref_3],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[medical_ref_3] != """"",,,,connection_status_ext1,,
social_ref_c_ext1,extended_followup_1,,radio,[social_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[social_ref] != """"",,,,connection_status_ext1,,
criminal_ref_c_ext1,extended_followup_1,,radio,[criminal_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[criminal_ref] != """"",,,,connection_status_ext1,,
violence_ref_c_ext1,extended_followup_1,,radio,[violence_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[violence_ref] != """"",,,,connection_status_ext1,,
utilities_c_ext1,extended_followup_1,,radio,[utilities],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[utilities] != """"",,,,connection_status_ext1,,
utilities_2c_ext1,extended_followup_1,,radio,[utilities_2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[utilities_2] != """"",,,,connection_status_ext1,,
other_ref1_c_ext1,extended_followup_1,,radio,[other_ref1],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[other_ref1] != """"",,,,connection_status_ext1,,
other_ref2_c_ext1,extended_followup_1,,radio,[other_ref2],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[other_ref2] != """"",,,,connection_status_ext1,,
other_ref3_c_ext1,extended_followup_1,,radio,[other_ref3],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[other_ref3] != """"",,,,connection_status_ext1,,
food_ref_cc_ext1,extended_followup_1,"Reasons for Not Connecting",checkbox,[food_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[food_ref_c_ext1] != '4' and [food_ref_c_ext1] != '8' and [food_ref_c_ext1] != ''",,,,connection_challenge_ext1,,
food_ref_2cc_ext1,extended_followup_1,,checkbox,[food_ref_2],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[food_ref_2c_ext1] != '4' and [food_ref_2c_ext1] != '8' and [food_ref_2c_ext1] != ''",,,,connection_challenge_ext1,,
food_ref_3cc_ext1,extended_followup_1,,checkbox,[food_ref_3],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[food_ref_3c_ext1] != '4' and [food_ref_3c_ext1] != '8' and [food_ref_3c_ext1] != ''",,,,connection_challenge_ext1,,
clothing_ref_cc_ext1,extended_followup_1,,checkbox,[clothing_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[clothing_ref_c_ext1] !='4' and [clothing_ref_c_ext1] != '8' and [clothing_ref_c_ext1] != ''",,,,connection_challenge_ext1,,
clothing_ref_2cc_ext1,extended_followup_1,,checkbox,[clothing_ref_2],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[clothing_ref_2c_ext1] !='4' and [clothing_ref_2c_ext1] != '8' and [clothing_ref_2c_ext1] != ''",,,,connection_challenge_ext1,,
transport_ref_cc_ext1,extended_followup_1,,checkbox,[transport_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[transport_ref_c_ext1] != '4' and [transport_ref_c_ext1] != '8' and [transport_ref_c_ext1] != ''",,,,connection_challenge_ext1,,
transport_ref_2cc_ext1,extended_followup_1,,checkbox,[transport_ref_2],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[transport_ref_2c_ext1] != '4' and [transport_ref_2c_ext1] != '8' and [transport_ref_2c_ext1] != ''",,,,connection_challenge_ext1,,
housing_ref_cc_ext1,extended_followup_1,,checkbox,[housing_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[housing_ref_c_ext1] =! '4' and [housing_ref_c_ext1] != '8' and [housing_ref_c_ext1] != ''",,,,connection_challenge_ext1,,
housing_ref_2cc_ext1,extended_followup_1,,checkbox,[housing_ref_2],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[housing_ref_2c_ext1] != '4' and [housing_ref_2c_ext1] != '8' and [housing_ref_2c_ext1] != ''",,,,connection_challenge_ext1,,
housing_ref_3cc_ext1,extended_followup_1,,checkbox,[housing_ref_3],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[housing_ref_3c_ext1] != '4' and [housing_ref_3c_ext1] != '8' and [housing_ref_3c_ext1] != ''",,,,connection_challenge_ext1,,
edu_ref_cc_ext1,extended_followup_1,,checkbox,[edu_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[edu_ref_c_ext1] != '4' and [edu_ref_c_ext1] != '8' and [edu_ref_c_ext1] != ''",,,,connection_challenge_ext1,,
youth_ref_cc_ext1,extended_followup_1,,checkbox,[youth_ref],"6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[youth_ref_c_ext1] != '4' and [youth_ref_c_ext1] != '8' and [youth_ref_c_ext1] != ''",,,,connection_challenge_ext1,,
